                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                 0.8629,                0.45701,                 0.9128,                0.90448,                0.83784,                0.87487,                0.58103,                 1.0632,                0.52932,                 1.0946,             0.00062262,             0.00062262,             0.00062262
                    116,                0.85255,                0.45445,                0.91892,                0.90022,                0.82901,                0.89217,                0.59879,                 1.0659,                0.53633,                 1.1016,             0.00061554,             0.00061554,             0.00061554
                    117,                0.87841,                0.46088,                0.91621,                0.90885,                 0.8215,                0.87976,                0.58721,                 1.0439,                0.52018,                 1.0822,             0.00060847,             0.00060847,             0.00060847
                    118,                 0.8778,                0.45524,                0.92415,                0.91971,                0.82808,                0.87521,                0.58718,                 1.0377,                0.53111,                 1.0863,             0.00060139,             0.00060139,             0.00060139
                    119,                0.85794,                0.44815,                0.91911,                0.90903,                 0.8294,                0.88382,                0.59367,                   1.04,                0.52375,                  1.093,             0.00059432,             0.00059432,             0.00059432
                    120,                0.85391,                0.45017,                0.91331,                0.89313,                0.81017,                0.87803,                0.59327,                 1.0265,                 0.5245,                 1.0884,             0.00058725,             0.00058725,             0.00058725
                    121,                0.87051,                 0.4686,                0.92158,                0.87381,                0.81861,                0.87156,                0.58701,                 1.0333,                0.52014,                 1.0907,             0.00058017,             0.00058017,             0.00058017
                    122,                0.84484,                0.44375,                0.91753,                0.92374,                0.80756,                0.88173,                0.58433,                 1.0593,                0.52282,                 1.0909,              0.0005731,              0.0005731,              0.0005731
                    123,                0.85225,                0.44345,                0.90989,                0.86853,                0.84052,                0.87919,                0.59183,                 1.0367,                  0.524,                 1.0837,             0.00056603,             0.00056603,             0.00056603
                    124,                0.82876,                0.43182,                 0.9077,                0.88219,                0.83275,                0.88062,                 0.5829,                 1.0485,                0.53913,                  1.091,             0.00055895,             0.00055895,             0.00055895
                    125,                0.81983,                0.43569,                0.90912,                0.87332,                0.83339,                0.87966,                0.59087,                 1.0693,                0.54121,                 1.1201,             0.00055188,             0.00055188,             0.00055188
                    126,                0.84265,                0.44696,                0.91174,                0.91478,                0.80233,                0.88059,                0.59634,                 1.0404,                0.53135,                  1.106,             0.00054481,             0.00054481,             0.00054481
                    127,                0.83356,                0.44122,                0.90699,                0.90985,                0.80519,                0.86533,                0.58852,                 1.0528,                0.54298,                 1.1043,             0.00053773,             0.00053773,             0.00053773
                    128,                0.82424,                0.43833,                0.90875,                0.89272,                0.84151,                0.87935,                0.59323,                 1.0423,                0.52291,                 1.0931,             0.00053066,             0.00053066,             0.00053066
                    129,                0.82711,                0.43908,                0.91135,                0.89779,                0.82625,                0.87455,                0.59129,                 1.0512,                0.52605,                 1.0904,             0.00052359,             0.00052359,             0.00052359
                    130,                0.84984,                0.44408,                0.90585,                0.90941,                0.82742,                0.88268,                0.59238,                 1.0683,                0.52819,                 1.0972,             0.00051651,             0.00051651,             0.00051651
                    131,                0.81456,                0.42371,                0.90515,                0.91576,                0.81518,                0.88052,                0.59206,                   1.06,                0.53126,                 1.0926,             0.00050944,             0.00050944,             0.00050944
